iso2c,iso3c,country,date,inflazione,crescita_pil,periodo
EE,EST,Estonia,2012,3.93339987296985,3.67201872506541,NA
EE,EST,Estonia,2013,2.78056658954987,1.75649379621869,NA
EE,EST,Estonia,2014,-0.106175146521709,3.32278988182702,Pre-guerra
EE,EST,Estonia,2015,-0.49232600654737,1.83815262882932,Pre-guerra
EE,EST,Estonia,2016,0.148684907627372,3.09301920751959,Pre-guerra
EE,EST,Estonia,2017,3.41723549488054,5.63467248963991,Pre-guerra
EE,EST,Estonia,2018,3.43632688420446,3.69969756161726,Pre-guerra
EE,EST,Estonia,2019,2.27725931243522,3.72664943466884,Pre-guerra
EE,EST,Estonia,2020,-0.444531097679829,-2.88380751483778,Pre-guerra
EE,EST,Estonia,2021,4.65316673847472,8.25488044580031,Pre-guerra
EE,EST,Estonia,2022,19.3982634080616,-1.22616966587796,Post-guerra
EE,EST,Estonia,2023,9.15922507983982,-2.74421914571231,Post-guerra
EE,EST,Estonia,2024,3.5194118998392,-0.0900428648493801,Post-guerra
FI,FIN,Finland,2010,1.18413523154646,3.1682879121621,NA
FI,FIN,Finland,2011,3.41680754255211,2.39039455396828,NA
FI,FIN,Finland,2012,2.80833622561573,-1.52284013040689,NA
FI,FIN,Finland,2013,1.47828615688809,-0.979741024949618,NA
FI,FIN,Finland,2014,1.04119621178439,-0.4780684247837,Pre-guerra
FI,FIN,Finland,2015,-0.207928839905268,0.466503766322674,Pre-guerra
FI,FIN,Finland,2016,0.356684500891695,2.57193414898754,Pre-guerra
FI,FIN,Finland,2017,0.754015047084346,3.30337003591039,Pre-guerra
FI,FIN,Finland,2018,1.08382098409305,1.19297759742292,Pre-guerra
FI,FIN,Finland,2019,1.0240939296343,1.34973845741737,Pre-guerra
FI,FIN,Finland,2020,0.290554555653239,-2.49103605535707,Pre-guerra
FI,FIN,Finland,2021,2.19457432340007,2.67634641498897,Pre-guerra
FI,FIN,Finland,2022,7.12350773301402,0.763041912763526,Post-guerra
FI,FIN,Finland,2023,6.25064322154762,-0.939093459613758,Post-guerra
FI,FIN,Finland,2024,1.56568906231615,0.416171964862073,Post-guerra
FR,FRA,France,2010,1.53112270420918,2.00032476039051,NA
FR,FRA,France,2011,2.11159795175,2.43757653729007,NA
FR,FRA,France,2012,1.95419531613509,0.183835264973013,NA
FR,FRA,France,2013,0.863715497861804,0.781756446231,NA
FR,FRA,France,2014,0.507758822937989,0.997832947295251,Pre-guerra
FR,FRA,France,2015,0.0375143805125181,1.06675474783462,Pre-guerra
FR,FRA,France,2016,0.183334861123764,0.860031075424033,Pre-guerra
FR,FRA,France,2017,1.03228275064681,2.08361485997399,Pre-guerra
FR,FRA,France,2018,1.85081508315492,1.64590872395887,Pre-guerra
FR,FRA,France,2019,1.10825492288293,2.02744646419237,Pre-guerra
FR,FRA,France,2020,0.476498852725065,-7.44064589948231,Pre-guerra
FR,FRA,France,2021,1.64233141038393,6.88233783360239,Pre-guerra
FR,FRA,France,2022,5.22236748369725,2.71676264185913,Post-guerra
FR,FRA,France,2023,4.8783572650844,1.43921494437743,Post-guerra
FR,FRA,France,2024,1.99904942291462,1.19046798275883,Post-guerra
GB,GBR,United Kingdom,2010,2.49265472467065,2.26054460931586,NA
GB,GBR,United Kingdom,2011,3.8561124468282,0.851437739020326,NA
GB,GBR,United Kingdom,2012,2.5732347965453,1.52826034721852,NA
GB,GBR,United Kingdom,2013,2.29166666666659,1.71846961308464,NA
GB,GBR,United Kingdom,2014,1.45112016293279,3.16017351468152,Pre-guerra
GB,GBR,United Kingdom,2015,0.36804684232536,2.14040560033371,Pre-guerra
GB,GBR,United Kingdom,2016,1.0084173681141,2.20652020635357,Pre-guerra
GB,GBR,United Kingdom,2017,2.55775577557747,3.02322219840339,Pre-guerra
GB,GBR,United Kingdom,2018,2.29283990345938,1.55133095078786,Pre-guerra
GB,GBR,United Kingdom,2019,1.73810460086513,1.25629899760824,Pre-guerra
GB,GBR,United Kingdom,2020,0.989486703772491,-10.047896637362,Pre-guerra
GB,GBR,United Kingdom,2021,2.51837109614213,8.5431118453255,Pre-guerra
GB,GBR,United Kingdom,2022,7.92204883147902,5.14970388522993,Post-guerra
GB,GBR,United Kingdom,2023,6.79396706793963,0.271650048355255,Post-guerra
GB,GBR,United Kingdom,2024,3.2715729463592,1.1264226705118,Post-guerra
GR,GRC,Greece,2010,4.71298907760395,-5.6937412158003,NA
GR,GRC,Greece,2011,3.3298532335065,-9.87677875300243,NA
GR,GRC,Greece,2012,1.50152696177758,-8.33113421099992,NA
GR,GRC,Greece,2013,-0.921269454256899,-2.27211699888024,NA
GR,GRC,Greece,2014,-1.31226096405525,0.792225060962835,Pre-guerra
GR,GRC,Greece,2015,-1.73588804765275,-0.228301892172851,Pre-guerra
GR,GRC,Greece,2016,-0.825653978391033,-0.0317947678412054,Pre-guerra
GR,GRC,Greece,2017,1.12125452031425,1.47312472702352,Pre-guerra
GR,GRC,Greece,2018,0.62562141345364,2.06467207892409,Pre-guerra
GR,GRC,Greece,2019,0.253007522038059,2.27718065334808,Pre-guerra
GR,GRC,Greece,2020,-1.24798355581405,-9.19623149726978,Pre-guerra
GR,GRC,Greece,2021,1.22382501019854,8.65449786002131,Pre-guerra
GR,GRC,Greece,2022,9.64525981280642,5.52198580589408,Post-guerra
GR,GRC,Greece,2023,3.46480128513405,2.13591131996631,Post-guerra
GR,GRC,Greece,2024,2.74101875679477,2.0865743380603,Post-guerra
HR,HRV,Croatia,2010,1.03055505333574,-1.33604672354973,NA
HR,HRV,Croatia,2011,2.2727272727273,-0.110906722446629,NA
HR,HRV,Croatia,2012,3.41207349081358,-2.23743360119771,NA
HR,HRV,Croatia,2013,2.21658206429779,-0.13364573653061,NA
HR,HRV,Croatia,2014,-0.215196159576268,-0.557692913614588,Pre-guerra
HR,HRV,Croatia,2015,-0.464499004644911,2.31998692708386,Pre-guerra
HR,HRV,Croatia,2016,-1.12500000000002,3.46646114288178,Pre-guerra
HR,HRV,Croatia,2017,1.12937210282347,3.28396321643012,Pre-guerra
HR,HRV,Croatia,2018,1.50012501041756,2.91107593407843,Pre-guerra
HR,HRV,Croatia,2019,0.771820346498019,3.10152683894853,Pre-guerra
HR,HRV,Croatia,2020,0.154811374562106,-8.31086401501189,Pre-guerra
HR,HRV,Croatia,2021,2.55450699642041,12.6322190351024,Pre-guerra
